title;author;link
GF_4;Slayarch;https://huds.tf/forum/xthreads_attach.php/3937_1617932756_68548d4e/3551c0268da86ffa8a7ef16084a2d79f/GF_4.wav
Button 18 Hitsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/3936_1617884850_9567d9a8/3bdea29a7f1ee84652b316b5c8a90462/hitsound.wav
Button 17 Hitsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/3935_1617884755_4cab331e/d6d3784afd89e5493b471b34664b1823/hitsound.wav
lisa hitsound;Cosmic Man;https://huds.tf/forum/xthreads_attach.php/3934_1617881420_54fed6b6/18d8962a82dc5287d245816437cf6994/hitsound.wav
Final Fantasy 7 enemy defeated...;ok (6);https://huds.tf/forum/xthreads_attach.php/3926_1617675119_db3da9b1/da706d699253558f5e30dc3d30890e54/killsound.wav
Oing;O'Dan;https://huds.tf/forum/xthreads_attach.php/3925_1617651795_817b1b0b/0b95503a204c2506e8f61e1d03212929/Oing.wav
Sr Pelo - Clown Scream;Luna (6);https://huds.tf/forum/xthreads_attach.php/3924_1617627760_f80d1f48/8a2807abff26ad9873266873827289bf/hitsound.wav
Damso Oh Bah Oui Killsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/3923_1617544767_4377c633/28838745ba54f36b75fa8313f7daf2c5/killsound.wav
My Hitsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/3922_1617544635_b6a6b2c3/d00566645f0de6f535b763a231a560cb/hitsound.wav
"Pekora ""peko"" hitsou...";pyroman50;https://huds.tf/forum/xthreads_attach.php/3921_1617497243_df1f31ff/7b39a5b44fd09a918b9962520ec687fe/hitsound.wav
Krunsound;Stepanex;https://huds.tf/forum/xthreads_attach.php/3913_1617404651_6dcc62f3/f8cf1f64f843a2eeda4bcd0fbcfde645/hitsound.wav
Hotel Mario No;I have bad news and a snack 4 u;https://huds.tf/forum/xthreads_attach.php/3905_1617168411_f867c880/8bb9ddab240b8d519ef856e119d4b1ba/no.wav
Calebcity Death Sound;I have bad news and a snack 4 u;https://huds.tf/forum/xthreads_attach.php/3904_1617168291_b1ab8120/df45ab6fddda9f7bf9fd12c5e3cdc5fe/calebcity%20augh.wav
"Postal dude's ""UGH!""";k0walskipp;https://huds.tf/forum/xthreads_attach.php/3902_1617037482_0ae2d5c8/8349efc055154ce4b44866a189ad04dc/hitsound.wav
get my tts Nicole;Agro | KritzKast | TFCrew;https://huds.tf/forum/xthreads_attach.php/3896_1616958596_fc022dac/412feba55abc47268616125c0c00eb61/get%20my%20Nicole.wav
[Backstab Sound] Уклоня�...;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/3895_1616936387_8a188567/e245c052417ae704fb077be7ce033b79/knife_swing_crit.wav
[Backstab Sound] Bottom Feeder...;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/3894_1616936316_295fd6a5/4f88e0809513f8e6e7fa4b771270eb50/knife_swing_crit.wav
Citizen Beaten 5;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/3893_1616935667_90b9c8a2/ae84a00bffa977a7a9242086c0bc3b59/killsound.wav
Drip 4;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/3892_1616935639_9a688c68/abf462e2b12c488c339badb1a898ddc9/killsound.wav
Drip 3;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/3891_1616935616_9fe10d13/60715c5201d8ff029017ac882077cce3/killsound.wav
Drip 2;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/3890_1616935593_0e6cffc5/8080b96ee14c55bc6873219714e7c82a/killsound.wav
Drip 1;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/3889_1616935570_143138a5/b84f8925360efd6ab3550b594c686dd8/killsound.wav
dababy lets go;pengi♥;https://huds.tf/forum/xthreads_attach.php/3881_1616920119_d21b293a/414f35b47e190c37b047f5e00a06fd3f/letsgodababy.wav
L4D2 Checkpoint Sound;uncommunist;https://huds.tf/forum/xthreads_attach.php/3880_1616878450_26733028/4d354638b19d94743aaa7d98f2924ab9/hitsound.wav
Hunter Death L4D2;uncommunist;https://huds.tf/forum/xthreads_attach.php/3879_1616878384_a7208108/4b7359e097245cbcadc77464ff1c4815/killsound.wav
UT3 Rus Killsound by Not a Sni...;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/3878_1616845664_7fcbea6a/912b0de67421fa872530320cb586b883/killsound.wav
